BC;"x [R'; U, R' D2 R]"
BD;"U x [R'; U, R' D2 R]"
CB;"x [R'; R' D2 R, U]"
DB;"U x [R'; R' D2 R, U]"
BF;"[U R'; U2, R' D' R]"
FB;"[U R'; R' D' R, U2]"
BG;"[U; U, R' D R]"
GB;"[U; R' D R, U]"
BH;[U, R D' R']
HB;[R D' R', U]
BI;F l' U' L U l F' L' (lefty Bowtie)
IB;r U R' U' r' F R F' (Chamaeleon)
BJ;l' U' L U l F' L' F (lefty Chamaeleon)
JB;F' r U R' U' r' F R (Bowtie)
BK;[D: U, R D R']
KB;[D: R D R', U]
BL;[U, R D2 R']
LB;[R D2 R', U]
BM;"[U R2; D, R' U2 R]"
MB;[U R: U2, R D R']
BO;[U, R D R']
OB;[R D R', U]
BP;"[U; U, R' D' R]"
PB;"[U; R' D' R, U]"
BS;[D': U, R D R']
SB;[D': R D R', U]
BT;[D: U, R D' R']
TB;[D: R D' R', U]
BU;[L2, sexy]
UB;[sexy, L2]
BV;[lexy, R2]
VB;[R2, lexy]
BW;[D: lexy, R2]
WB;[D: R2, lexy]
BX;[D: L2, sexy]
XB;[D: sexy, L2]
NC;[F: U' L' U, R2]
CN;[F: R', U' L' U]
ND;[F: U' L' U, R]
DN;[F: R, U' L' U]
NF;[F2: U' L' U, R2]
FN;[F2: R2, U' L' U]
NG;[D': L, U R U']
GN;[D': U R U', L]
NH;[D2: U' L' U, R2]
HN;[D2: R2, U' L' U]
NI;[L', U R U']
IN;[U R U', L']
NJ;"[R; R D R', U]"
JN;"[R; U, R D R']"
NK;[D: U' L' U, R']
KN;[D: R', U' L' U]
NL;[D: U' L' U, R2]
LN;[D: R2, U' L' U]
NM;[U' L' U, R]
MN;[R, U' L' U]
NO;[U' L' U, R']
ON;[R', U' L' U]
NP;[U' L' U, R2]
PN;[R2, U' L' U]
NS;[L, U R U']
SN;[U R U', L]
NT;[D': U' L' U, R2]
TN;[D': R2, U' L' U]
NU;[L2, U R U']
UN;[U R U', L2]
NV;[D': L2, U R U']
VN;[D': U R U', L2]
NW;[D2: L2, U R U']
WN;[D2: U R U', L2]
NX;[D: L2, U R U']
XN;[D: U R U', L2]
QC;[R' D': U2, R' D R]
CQ;[R' D': R' D R, U2]
QD;"[l U'; R' D R, U2]"
DQ;"[l U'; U2, R' D R]"
QF;[R' F: R' D' R, U2]
FQ;[R' F: U2, R' D' R]
QG;"[R'; U2, R' D R]"
GQ;"[R'; R' D R, U2]"
QH;"[R': L' D' L, U2]<br>[R' U; R D' R', U2]"
HQ;"[R': U2, L' D' L]<br>R' U'; R D' R, U2"
QI;"[x' R; U2, R D2 R']"
IQ;"[x' R; R D2 R', U2]"
QJ;"[R; R2 D R2 D' R2, U]"
JQ;"[R; U, R2 D R2 D' R2]"
QK;"[D' R'; U2, R' D R]"
KQ;"[D' R'; R' D R, U2]"
QL;"[x' R; U2, R D' R']"
LQ;"[x' R; R D' R', U2]"
QM;"[R'; U2, R' D' R]"
MQ;"[R'; R' D' R, U2]"
QO;"[D2 R'; U2, R' D R]"
OQ;"[D2 R'; R' D R, U2]"
QP;"[R' U'; U2, R D R']"
PQ;"[R' U'; R D R', U2]"
QS;"[R'; U2, R' D2 R]"
SQ;"[R'; R' D2 R, U2]"
QT;"[x' R; U2, R D R']"
TQ;"[x' R; R D R', U2]"
QU;"<div>[D R' D': U2, R' D' R]</div>[D R' D U'; U2, R D' R']"
UQ;"<div>[D R' D': R' D' R, U2]</div>[D R' D U'; R D' R', U2]"
