BC,0.0,3.55,3.55,3.55,4.953
BD,6.965999999999999,5,175,1,0
BF,6.609666666666667,3,326,0,0
BG,243.0,0.0,0.0,8.937,3.86
BH,172.0,0.0,0.0,3.391,2.438
BI,5.0,126.0,0.0,0.0,4.781
BJ,3.0,242.0,0.0,0.0,5.375
BK,4.0,67.0,0.0,0.0,4.422
BL,148.0,0.0,0.0,3.11,3.11
BM,0.0,0.0,0.0,0.0,12.219
BO,4.0,81.0,0.0,0.0,1.968
BP,5.0,283.0,0.0,0.0,3.235
BQ,3.5338333333333325,6,281,0,0
BS,5.44,6,398,0,0
BT,3.0,296.0,0.0,0.0,3.766
BU,0.0,0.0,5.609,4.578,3.828
BV,8.365600000000002,5,94,1,0
BW,0.0,0.0,0.0,0.0,4.594
BX,194.0,0.0,0.0,6.391,4.812
CB,0.0,0.0,0.0,0.0,3.625
CD,72.0,0.0,0.0,5.297,3.781
CF,177.0,0.0,0.0,2.546,2.546
CG,5.0,502.0,0.0,0.0,3.546
CH,2.0,203.0,0.0,0.0,9.703
CI,88.0,0.0,0.0,3.86,4.718
CJ,2.2504999999999997,2,71,0,0
CK,0,0,0,0,0
CL,5.0,652.0,0.0,0.0,3.172
CM,4.101500000000001,6,41,0,0
CN,4.0,378.0,1.0,0.0,6.141
CO,5.145833333333333,6,268,0,0
CP,2.0,135.0,0.0,0.0,3.953
CQ,5.0,1005.0,1.0,0.0,8.843
CS,3.98825,4,500,0,0
CT,0.0,0.0,0.0,0.0,4.156
CU,2.0,2.0,0.0,0.0,7.25
CV,5.0,321.0,1.0,0.0,4.484
CW,0.0,0.0,0.0,3.329,3.938
CX,6.522428571428572,7,70,0,0
DB,1.0,0.0,3.906,4.078,3.985
DC,6.0,128.0,0.0,0.0,6.344
DF,6.117500000000001,6,401,1,0
DG,5.0,122.0,0.0,0.0,3.953
DH,1.0,109.0,0.0,0.0,4.015
DI,1.0,159.0,0.0,0.0,7.36
DJ,5.0,418.0,1.0,0.0,3.625
DK,4.705666666666667,6,336,0,0
DL,489.0,1.0,0.0,11.375,11.39
DM,0,0,0,0,0
DN,0.0,0.0,0.0,0.0,3.188
DO,0.0,0.0,4.469,4.703,4.703
DP,6.0,43.0,0.0,0.0,6.579
DQ,11.721599999999999,5,388,1,0
DS,4.294166666666667,6,216,0,0
DT,0.0,0.0,0.0,0.0,3.515
DU,7.0,27.0,0.0,0.0,4.641
DV,0.0,0.0,0.0,0.0,5.25
DW,682.0,0.0,0.0,5.172,6.469
DX,5.0,703.0,0.0,0.0,5.109
FB,276.0,1.0,0.0,19.25,19.25
FC,193.0,2.0,0.0,5.657,5.297
FD,4.0,201.0,0.0,0.0,19.656
FG,8.265333333333333,3,76,0,0
FH,3.0,182.0,1.0,0.0,5.938
FI,6.0,47.0,1.0,0.0,9.781
FJ,812.0,0.0,0.0,5.047,4.172
FK,5.0,60.0,1.0,0.0,6.016
FL,7.0,37.0,1.0,0.0,4.688
FM,240.0,1.0,0.0,4.657,5.031
FN,4.0,251.0,0.0,0.0,11.735
FO,1.0,244.0,1.0,0.0,7.61
FP,4.0,167.0,2.0,0.0,5.718
FQ,0.0,0.0,0.0,0.0,3.672
FS,6.0,184.0,2.0,0.0,4.453
FT,3.0,26.0,0.0,0.0,3.297
FU,6.6695,6,225,0,0
FV,324.0,0.0,0.0,5.766,3.203
FW,0,0,0,0,0
FX,6.0,340.0,0.0,0.0,4.984
GB,3.0,273.0,0.0,0.0,3.719
GC,4.0,246.0,0.0,0.0,6.844
GD,5.0,192.0,0.0,0.0,8.891
GF,7.0,783.0,0.0,0.0,5.187
GH,0.0,0.0,0.0,0.0,18.203
GI,5.0,183.0,2.0,0.0,3.781
GJ,3.0,334.0,0.0,0.0,4.703
GK,0,0,0,0,0
GL,2.0,29.0,0.0,0.0,5.531
GM,312.0,0.0,0.0,6.375,6.375
GN,0.0,0.0,0.0,0.0,6.219
GO,0,0,0,0,0
GP,6.0,407.0,2.0,0.0,5.172
GQ,325.0,0.0,0.0,3.593,3.593
