AB,145.0,0.0,0.0,3.64,3.594
AC,0.0,0.0,13.719,23.719,2.812
AD,6.0,25.0,0.0,0.0,3.735
AE,0.0,5.718,3.703,2.859,3.047
AF,3.671,3.157,3.157,3.157,3.157
AG,4.328,3.672,3.672,3.672,3.938
AH,3.6247999999999996,5,1459,0,0
AI,4.484,4.484,4.375,3.172,3.219
AJ,215.0,0.0,0.0,4.375,2.829
AL,0.0,0.0,2.969,2.547,2.36
AM,6.0,329.0,0.0,0.0,3.219
AN,0.0,0.0,4.328,2.75,6.703
AO,0.0,0.0,3.235,3.235,3.235
AP,209.0,0.0,0.0,4.156,3.875
AR,0.0,2.656,2.656,2.656,2.593
AS,5.99625,4,87,0,0
AT,3.450714285714286,7,451,0,0
AV,0.0,2.578,3.203,3.594,3.297
AW,0.0,3.078,4.078,4.078,4.078
AX,0.0,3.266,2.938,3.25,3.25
BA,6.0,575.0,0.0,0.0,3.781
BC,129.0,0.0,0.0,3.516,3.422
BD,5.0,151.0,0.0,0.0,2.422
BE,3.484,3.484,3.484,7.312,7.312
BF,6.76175,4,710,0,0
BG,11.5,3.578,3.922,4.625,4.031
BH,284.0,0.0,0.0,4.812,3.75
BI,0.0,4.375,3.078,3.031,2.922
BJ,2.9311999999999996,5,147,0,0
BL,5.0,518.0,0.0,0.0,3.64
BM,244.0,0.0,0.0,3.703,4.14
BN,36.75,42.765,4.141,3.656,4.672
BO,271.0,0.0,0.0,3.578,3.671
BP,23.156,4.047,4.438,4.218,26.594
BQ,6.0,1305.0,2.0,0.0,2.86
BR,0.0,7.125,7.125,7.125,5.344
BS,6.0,1451.0,0.0,0.0,3.907
BT,0.0,0.0,2.922,3.422,3.422
BV,3.9154285714285715,7,51,0,0
BW,0.0,0.0,2.969,2.969,4.312
BX,4.9,5,107,0,0
CA,4.0,1089.0,0.0,0.0,6.015
CB,169.0,0.0,0.0,4.672,3.922
CD,3.625,3.625,3.625,3.625,3.625
CE,15.0,242.0,1.0,0.0,3.312
CF,5.266,3.922,4.157,4.281,3.843
CG,8.8064,5,1471,0,0
CH,5.549333333333333,6,181,0,0
CI,1.7631666666666665,6,359,0,0
CJ,3.359,3.484,3.484,3.484,3.438
CL,5.0,610.0,0.0,0.0,3.593
CM,3.469,3.922,4.281,4.281,4.281
CN,557.0,0.0,0.0,4.563,3.469
CO,7.0,7.812,4.984,4.562,3.719
CP,726.0,0.0,0.0,5.5,3.469
CQ,5.969,5.563,5.844,4.844,4.968
CR,5.648333333333333,6,251,0,0
CS,10.1365,4,432,0,0
CT,5.7934,5,494,0,0
CV,4.625000000000001,5,222,0,0
CW,13.0,198.0,1.0,0.0,3.984
CX,1.985,1.985,1.985,1.985,1.985
DA,0.0,0.0,3.422,3.422,3.422
DB,3.953,3.14,3.14,3.437,3.437
DC,3.312,3.344,3.188,4.594,2.891
DE,1.9140000000000004,6,166,0,0
DF,207.0,0.0,0.0,2.672,3.437
DG,202.0,3.0,0.0,3.735,3.297
DH,5.0,325.0,0.0,0.0,3.188
DI,4.391,4.391,4.391,4.391,4.563
DJ,4.343,4.343,3.235,4.609,4.609
DL,4.437,7.89,5.547,3.735,4.078
DM,6.0,113.0,0.0,0.0,4.703
DN,4.281,4.281,4.281,4.281,4.281
DO,0.0,4.063,3.032,3.032,3.032
DP,549.0,0.0,0.0,3.687,3.219
DQ,11.656,7,573,2,0
DR,7.0,504.0,0.0,0.0,4.344
DS,1206.0,0.0,0.0,3.094,2.593
DT,4.0343333333333335,6,399,0,0
DV,466.0,0.0,0.0,4.313,3.015
DW,0.0,4.516,3.672,3.672,3.672
DX,3.953,7.968,7.968,7.968,13.422
