BF;[U, r' u' r]
FB;[r' u' r, U]
BL;[U, r d2 r']
LB;[r d2 r', U]
BN;[U, r' u r]
NB;[r' u r, U]
BS;[x': U r U', l']
SB;[x': l', U r U']
BU;[x2: U r2 U', l2]
UB;[x2: l2, U r2 U']
DH;[U', l d l']
HD;[l d l', U']
DK;"[U; U', l' d2 l]"
KD;"[U; l' d2 l, U']"
DP;[U', l d' l']
PD;[l d' l', U']
DT;[U', l d2 l']
TD;[l d2 l', U']
DV;[x': l' U' l, d2]
VD;[x': d2, l' U' l]
GW;[y': l2, U' r U]
WG;[y': U' r U, l2]
JU;[l2, U r U']
UJ;[U r U', l2]
MW;[y': l2, U' r' U]
WM;[y': U' r' U, l2]
TU;[l2, U r' U']
UT;[U r' U', l2]
UV;[U r2 U', l2]
BE;L: BF
EB;L: FB
BG;L': BF
GB;L': FB
BH;L2: BF
HB;L2: FB
BI;F': BL
IB;F': LB
BJ;F2:BL
JB;F2: LB
BK;"[U'; U, l' d2 l]"
KB;"[U'; l' d2 l, U]"
BM;R: BN
MB;R: NB
BO;R': BN
OB;R': NB
BP;R2: BN
PB;R2: NB
BQ;B2: BS
BR;B: BS oder [U, r' u2 r]
RB;B: SB oder [r' u2 r, U]
QB;B2: SB
BT;B': BS
TB;B': SB
BV;D': BU
VB;D': UB
BW;D2: BU
WB;D2: UB
BX;D: BU
XB;D: UB
DE;L': DH
ED;L': HD
DF;[U', l' u l]
FD;[l' u l, U']
DG;L: DH
GD;L: HD
DI;F2: DK
ID;F2: KD
DJ;[U', l' u2 l]
JD;[l' u2 l, U']
DL;F': DK
LD;F': KD
DM;R': DP
MD;R': PD
DN;R2: DP
ND;R2: PD
DO;R: DP
OD;R: PD
DQ;B': DT
QD;B': TD
DR;B2: DT
RD;B2: TD
DS;B: DT
SD;B: TD
DU;D: DV
UD;D: VD
DW;D': DV
WD;D': VD
DX;D2: DV
XD;D2: VD
CE;[U2, r u r']
EC;[r u r', U2]
CF;[y': U2, u r' u' r]
FC;[y': u r' u' r, U2]
CG;[U2, r' d r]
GC;[r' d r, U2]
CH;"[U'; U2, r' d' r]"
HC;"[U'; r' d' r, U2]"
CI;[U2, r u2 r']
IC;[r u2 r', U2]
CJ;[y': U2, r' u' r]
JC;[y': r' u' r, U2]
CK;"[U2; U2, l' d2 l]"
KC;"[U2; l' d2 l, U2]"
CL;[y': U2, r d r']
LC;[y': r d r', U2]
CM;[U2, r u' r']
MC;[r u' r', U2]
CN;[y': U2, r' u2 r]
NC;[y': r' u2 r, U2]
CO;[U2, r' d' r]
OC;[r' d' r, U2]
CP;[U': U2, r d r']
PC;[U': r d r', U2]
CQ;[U2, u r u' r']
QC;[u r u' r', U2]
CR;[y': U2, r' u' r]
RC;[y': r' u' r, U2]
