CD;[U2 R: [r2, U R' U']]
CA;[U' R' U: [U R U', r2]]
CB;[U' R: [U R' U', r2]]
CG;[D: [U' R2 U, l']
CH;[Lw' U': [U' r U, L2]]
CE;[U' Rw: [U R' U', r]]
CF;[4Uw': [U' r2 U, R]]
CK;[r': [D2, r' U2 r]]
CL;[U: [U r2 U', L']]
CI;[U2 Lw U2 Lw' U2, r]
CJ;[U': [U' r2 U, R]]
CO;[D': [U L2 U', l']]
CP;[Uw': [U' r2 U, R']]
CM;[Lw' U R: [U' R' U, r]]
CN;[Lw' U: [U r U', R']]
CS;[U' Rw': [U R U', r']]
CT;[U': [U' r2 U, R']]
CQ;[D': [U L2 U', l]]
CR;[U: [U r2 U', L]]
CW;[Lw' U Lw: [D2, r U r']]
CX;[U: [U r2 U', L2]]
CV;[U': [U' r2 U, R2]]
DC;[U2 R: [U R' U', r2]]
DA;[U R: [r2, U R' U']]
DB;[Rw' U: [r', U R U']]
DG;[D': [L2, U r' U']]
DH;[Uw: [r2, U R' U']]
DE;[U': [U2 Lw U2 Lw' U2, r]]
DF;[U r': [r2, U L' U']]
DK;[r': [D2, r' U r]]
DL;[U r2 U', L']
DI;[x: [U' L U, r]]
DJ;[U: [r2, U R U']]
DO;[D': [L2, U' l' U]]
DP;[Uw: [r2, U' L' U]]
DM;[D': [L2, U r U']]
DN;[4Uw: [r2, U R U']]
DS;[r, D' L2 D]
DT;[U: [r2, U R' U']]
DQ;[U2 Rw: [U R' U', r]]
DR;[U r2 U', L]
DW;[Lw U2: [r', D' L D]]
DX;[U r2 U', L2]
DV;[R U: [r2, U R U']]
AC;[U' R' U: [r2, U R U']]
AD;[U R: [U R' U', r2]]
AB;[R: [r2, U R' U']]
AG;[D': [U' L2 U, r']]
AH;[Uw: [U' r2 U, R']]
AE;[4Lw: [r2, U L' U']]
AF;[r: [U L' U', r2]]
AK;[Lw2 U2: [U2 Lw U2 Lw' U2, r]]
AL;[r2, U' L' U]
AI;[D: [U R2 U', r]]
AJ;[r2, U R U']
AO;[D: [U R2 U', r']]
AP;[r: [U' R U, r2]]
AM;[Rw: [U' R' U, r2]]
AN;[r: [U' R' U, r2]]
AS;[U Rw': [U R U', r']]
AT;[r2, U R' U']
AQ;[U2: [U2 Lw U2 Lw' U2, r]]
AR;[r2, U' L U]
AW;[D' R D: [r2, U R U']]
AX;[r2, U' L2 U]
AV;[r2, U R2 U']
BC;[U' R: [r2, U R' U']]
BD;[Rw' U: [U R U', r']]
BA;[R: [U R' U', r2]]
BG;[D: [R2, U l' U']]
BH;[Uw': [r2, U' L' U]]
BE;[D: [R2, U' r U]]
BF;[U' r': [r2, U L' U']]
BK;[Rw2 U: [U l' U', R2]]
BL;[U': [r2, U' L' U]]
BI;[Rw: [U R' U', r]]
BJ;[U' r2 U, R]
BO;[D: [R2, U' r' U]]
BP;[Uw': [r2, U R' U']]
BM;[U: [U2 Lw U2 Lw' U2, r]]
BN;[U' r: [U' R' U, r2]]
BS;[r, D R2 D']
BT;[U' r2 U, R']
BQ;[R2: [r U2 r', D']]
BR;[U': [r2, U' L U]]
BW;[Rw2 D' [U R2 U', r2]]
BX;[U': [r2, U' L2 U]]
BV;[U' r2 U, R2]
GC;[D: [l', U' R2 U]
GD;[D': [U r' U', L2]]
GA;[D': [r', U' L2 U]]
GB;[D: [U l' U', R2]]
GH;[L: [L, U' r U]]
GE;[L2, U' r U]
GF;[L': [L', U' r U]]
GK;[Lw2: [U, l' D2 l]]
GL;[D' L': [U r' U', L']]
GI;[U L2 U', r]
GJ;[D R: [U l' U', R]]
GO;[R2 U: [U L2 U', r]]
GP;[R U: [U L2 U', r]]
GM;[U: [U L2 U', r]]
GN;[R' U: [U L2 U', r]]
GS;[x: [U L' U', r]]
GT;[Rw': [r' U' r, D']]
GQ;[U': [L2, U' r U]]
GR;[D' L: [U r' U', L]]
GW;[L2: [D2, r U' r']]
GX;[L' Uw L: [L2, U' r U]]
GV;[L2: [D', r U' r']]
HC;[Lw' U': [L2, U' r U]]
HD;[Uw: [U R' U', r2]]
HA;[Uw: [R', U' r2 U]]
HB;[Uw': [U' L' U, r2]]
HG;[L: [U' r U, L]]
HE;[L, U' r U]
HF;[L: [U' r U, L2]]
HK;[Lw2 U': [L', U' r U]]
HL;[z: [r', U L' U']]
HI;[U L U', r]
HJ;[R Uw': [U' L' U, r2]]
HO;[L U': [r, U' R2 U]]
HP;[L U': [r, U' R U]]
HM;[U: [U L U', r]]
HN;[L U': [r, U' R' U]]
HS;[D L' D', r']
HT;[z': [l, U R U']]
HQ;[U': [L, U' r U]]
HR;[Uw' L' : [U r2 U', L2]]
HW;[L: [D2, r U' r']]
HX;[Uw' L': [U r2 U', L']]
HV;[z': [U' l U, R]]
EC;[U' Rw: [r, U R' U']]
ED;[U': [r, U2 Lw U2 Lw' U2]]
EA;[4Lw: [U L' U', r2]]
EB;[D: [U' r U, R2]]
EG;[U' r U, L2]
EH;[U' r U, L]
EF;[U' r U, L']
EK;[U' Lw': [r, U2 Lw U2 Lw' U2]]
EL;[Uw': [r, U' R U]]
EI;[3Lw': [U L U', r]]
EJ;[U': [D R' D', r']]
EO;[U': [r, U' R2 U]]
EP;[U': [r, U' R U]]
EM;[R U': [r, U' R' U]]
EN;[U': [r, U' R' U]]
ES;[D L2 D', r']
ET;[Uw': [r, U L U']]
EQ;[U, l' D2 l]
ER;[4Uw': [r, U L' U']]
EW;[D2, r U' r']
EX;[D, r U' r']
EV;[D', r U' r']
FC;[4Uw': [R, U' r2 U]]
FD;[U r': [U L' U', r2]]
FA;[r: [r2, U L' U']]
FB;[U' r': [U L' U', r2]]
FG;[L': [U' r U, L']]
FH;[L: [L2, U' r U]]
FE;[L', U' r U]
FK;[Lw2 U': [L, U' r U]]
FL;[Uw L : [L2, U' r U]]
FI;[U L' U', r]
FJ;[z': [r, U' R U]]
FO;[R2 U: [U L' U', r]]
FP;[R U: [U L' U', r]]
FM;[U: [U L' U', r]]
FN;[R' U: [U L' U', r]]
FS;[D L D', r']
FT;[x: [r' D' r, U']]
FQ;[U': [L', U' r U]]
FR;[z: [U' L' U, l']]
FW;[L': [D2, r U' r']]
FX;[L' Uw': [r, U' R U]]
FV;[z': [U r U', R]]
KC;[r': [r' U2 r, D2]]
KD;[r': [r' U r, D2]]
KA;[Lw2 U2: [r, U2 Lw U2 Lw' U2]]
KB;[Rw2 U: [R2, U l' U']]
KG;[Lw2: [l' D2 l, U]]
KH;[Lw2 U': [U' r U, L']]
KE;[U' Lw': [U2 Lw U2 Lw' U2, r]]
KF;[Lw2 U': [U' r U, L]]
KL;[l' U: [U r2 U', L']]
KI;[Lw': [U2 Lw U2 Lw' U2, r]]
KJ;[Lw' U': [U' r2 U, R]]
KO;[Rw U': [R, U' l2 U]]
KP;[Lw2 U: [R, U r U']]
KM;[Rw U': [R', U' l2 U]]
KN;[Rw U': [R2, U' l2 U]]
KS;[r': [l' U2 l, D2]]
KT;[Rw': [r' U' r, D2]]
KQ;[U Lw: [r U r', D2]]
KR;[Lw' U: [U r2 U', L2]]
KW;[l: [D2, r U2 r']]
KX;[Lw' U: [U r2 U', L']]
KV;[Rw2: [U', r D2 r']]
LC;[U2: [U' L' U, r2]]
LD;[L', U r2 U']
LA;[U' L' U, r2]
LB;[U': [U' L' U, r2]]
LG;[D' L': [L', U r' U']]
LH;[z: [U L' U', r']]
LE;[Uw': [U' R U, r]]
LF;[Uw L : [U' r U, L2]]
LK;[l' U: [L', U r2 U']]
LI;[Uw': [R, U r U']]
LJ;[R U': [U' L' U, r2]]
LO;[R2 Uw: [U L U', r]]
LP;[z: [U L' U', r]]
LM;[Uw: [U L U', r]]
LN;[R' Uw: [U L U', r]]
LS;[D' L D, r]
LT;[z: [U L' U', r2]]
LQ;[U2: [r', D' L D]]
LR;[L': [U r2 U', L2]]
LW;[Lw: [r U2 r', D]]
LX;[L': [U r2 U', L']]
LV;[L' U: [r2, U R2 U']]
IC;[r, U2 Lw U2 Lw' U2]
ID;[x: [r, U' L U]]
IA;[D: [r, U R2 U']]
IB;[Rw: [r, U R' U']]
IG;[r, U L2 U']
IH;[r, U L U']
IE;[3Lw': [r, U L U']]
