AB;[Rw' U: [U r U', R]]
BA;[Rw' U: [U r U', R]] inv
AD;[Lw' U: [L, U l U']]
DA;[Lw' U: [L, U l U']] inv
AE;[x' U: [U r2 U', L']]
EA;[x' U: [U r2 U', L']] inv
AF;[L: [r' D r, U2]]
FA;[L: [r' D r, U2]] inv
AG;[r' D r, U2]]
GA;[r' D r, U2]] inv
AH;[L': [U2, l' D' l]]
HA;[L': [U2, l' D' l]] inv
AI;[Lw' D': [l' D l, U2]]
IA;[Lw' D': [l' D l, U2]] inv
AJ;[Lw' U': [R, U' l U]]
JA;[Lw' U': [R, U' l U]] inv
AK;[D': [r' D r, U2]]
KA;[D': [r' D r, U2]] inv
AL;[Rw' U': [U' r U, L']]
LA;[Rw' U': [U' r U, L']] inv
AM;[x' U': [U' r2 U, R]]
MA;[x' U': [U' r2 U, R]] inv
AN;[R: [r' D' r, U2]]
NA;[R: [r' D' r, U2]] inv
AO;[r' D' r, U2]
OA;[r' D' r, U2] inv
AP;[R': [r' D' r, U2]]
PA;[R': [r' D' r, U2]] inv
AQ;[Rw' D': [U2, r' D r]]
QA;[Rw' D': [U2, r' D r]] inv
AR;[r' U': [U' r U, L]]
RA;[r' U': [U' r U, L]] inv
AS;[D': [U2, l' D l]]
SA;[D': [U2, l' D l]] inv
AT;[Lw' U': [R', U' l U]]
TA;[Lw' U': [R', U' l U]] inv
AU;[Rw U2 l' U2 Rw', U2]]
UA;[Rw U2 l' U2 Rw', U2]] inv
AV;[Rw' U: [U r U', R']]
VA;[Rw' U: [U r U', R']] inv
AW;[U2, Lw U2 r' U2 Lw']
WA;[U2, Lw U2 r' U2 Lw'] inv
AX;[Lw' U: [L', U l U']]
XA;[Lw' U: [L', U l U']] inv
BD;[Rw' U': [U' R U, r]]
DB;[Rw' U': [U' R U, r]] inv
BE;[U': [Rw U R' U', l']]
EB;[U': [Rw U R' U', l']] inv
BF;[x' R: [D, r U r']]
FB;[x' R: [D, r U r']] inv
BG;[r' D r, U]
GB;[r' D r, U] inv
BH;[x Rw': [r' D r, U]]
HB;[x Rw': [r' D r, U]] inv
BI;[Rw2: [r' U2 r, D]]
IB;[Rw2: [r' U2 r, D]] inv
BJ;[x' R: [U r U', R]]
JB;[x' R: [U r U', R]] inv
BK;[R: [r, U' R' U]]
KB;[R: [r, U' R' U]] inv
BL;[z': [L', U r2 U']]
LB;[z': [L', U r2 U']] inv
BM;[U Lw U: [L', U l2 U']]
MB;[U Lw U: [L', U l2 U']] inv
BN;[R D': [r, U' R' U]]
NB;[R D': [r, U' R' U]] inv
BO;[r' D' r, U]
OB;[r' D' r, U] inv
BP;[z R: [U l' U', R]]
PB;[z R: [U l' U', R]] inv
BQ;[R': [r', U' R U]]
QB;[R': [r', U' R U]] inv
BR;[z': [L', U' l2 U]]
RB;[z': [L', U' l2 U]] inv
BS;[r' D2 r, U]
SB;[r' D2 r, U] inv
BT;[x': [R, U r U']]
TB;[x': [R, U r U']] inv
BU;[x' R: [r U r', D2]]
UB;[x' R: [r U r', D2]] inv
BV;[x' R: [U r U', R2]]
VB;[x' R: [U r U', R2]] inv
BW;[r2, R U' R' U]
WB;[r2, R U' R' U] inv
BX;[x' R U: [r, U L U']]
XB;[x' R U: [r, U L U']] inv
